28603 0 626178	Visualizing web site comparisons.
1363 1 15923	Carla E. Brodley
30553 3 1829	flexibility
37503 3 13011	retroactive
31174 3 2558	code
14203 1 438356	Jungchul Woo
12079 1 304553	Saara Hyv?nen
37411 3 12711	sqlb
11714 1 261987	Yoshinobu Kawahara
26378 0 555381	The Performance of a Multiversion Access Method.
31726 3 3232	montague
4761 1 35430	Massimo Melucci
9014 1 139702	Guo-Jun Qi
25405 0 552384	Personalized query expansion for the web.
11796 1 278343	Laurie B. Waisel
4913 1 36707	Scott T. Leutenegger
33834 3 6559	reporting
23091 0 486932	Constraint-Based Graph Clustering through Node Sequencing and Partitioning.
29888 3 1091	distinguishing
2264 1 17716	Burak Aksak
6699 1 84164	Niels Nes
4145 1 27514	Gerard Salton
8271 1 114652	Yu Nie
8274 1 114658	Shubha U. Nabar
15929 0 12068	Using a Geometric-Based Sketch Recognition Approach to Sketch Chinese Radicals.
11592 1 261661	Wonsuk Lee
20391 0 356829	Efficient Representation of Linguistic Knowledge for Continuous Speech Understanding.
23033 0 486774	An Efficient Algorithm of Frequent Connected Subgraph Extraction.
20018 0 309114	An analytic solution to discrete Bayesian reinforcement learning.
5396 1 48613	Thierry Vidal
34149 3 7013	distilling
22979 0 486679	DB-Subdue: Database Approach to Graph Mining.
17621 0 162901	ProPolyne: A Fast Wavelet-Based Algorithm for Progressive Evaluation of Polynomial Range-Sum Queries.
20201 0 309639	On the Convergence of Boosting Procedures.
16054 0 12297	An Extended Interpreted System Model for Epistemic Logics.
31207 3 2593	warping
11197 1 260787	Rui Wang 0002
32491 3 4281	psychological
34444 3 7494	raster
30316 3 1552	here
35270 3 9081	nusmv
10193 1 175672	Christos Giannoukos
32121 3 3769	important
14013 1 422787	Mohit Thatte
26886 0 556303	In-network execution of monitoring queries in sensor networks.
36215 3 10739	ntcir
6929 1 88178	David Toman
34465 3 7537	peanuts
32591 3 4425	doll
13350 1 421184	Hongzhao He
17211 0 157128	Extending Probabilistic Data Fusion Using Sliding Windows.
9761 1 165672	Jose Renato Santos
14882 0 8960	The Crystallographer's Assistant.
8826 1 133469	Gene H. Golub
20472 0 357081	SMART+: A Multi-Strategy Learning Tool.
27953 0 596880	Constraint Equations: Declarative Expression of Constraints With Automatic Enforcement.
34624 3 7826	postgresql
5468 1 49045	Hongbo Xu
19315 0 278297	FS3: A Random Walk Based Free-Form Spatial Scan Statistic for Anomalous Window Detection.
24416 0 550833	Orthogonal locality preserving indexing.
2374 1 17996	Natasa Milic-Frayling
33985 3 6781	preservation
25943 0 554543	An Implementation Model for Reasoning with Complex Objects.
18894 0 277448	Abstract Process Data Warehousing.
11452 1 261372	Ian De Felipe
20871 0 358082	A Learning-Based Jam Session System that Imitates a Player's Personality Model.
17941 0 275456	A Primitive Operator for Similarity Joins in Data Cleaning.
20625 0 357422	Explaining Search Results.
24883 0 551561	Context-based question-answering evaluation.
12868 1 366664	Vikram Tankasali
14402 1 453176	Amit C. Awekar
25723 0 554172	Nodose Version 2.0.
21498 0 359726	Frames-based Text Processing.
10269 1 177139	Krista Lagus
20556 0 357273	Toward a State Based Conceptual Representation.
31023 3 2377	quadtree
30455 3 1717	alone
6013 1 62372	Thomas Bergstraesser
18276 0 276137	Batched Interpolation Searching on Databases.
27264 0 595707	Standardization and the Relational Approach to Databases: An ANSI Task Group Status Report.
28805 0 627191	Algorithm for stochastic multiple-choice knapsack problem and application to keywords bidding.
7068 1 94943	Kelly A. Lyons
28480 0 597782	XSeek: A Semantic XML Search Engine Using Keywords.
5988 1 61894	Steve Jones
16649 0 86650	MRSSA: an iterative algorithm for similarity spreading over interrelated objects.
31698 3 3196	salience
2807 1 18933	James R. Slagle
251 1 4606	Rudi Studer
7990 1 114227	Enrico Ronchetti
11057 1 260493	David Farmer
23248 0 487346	Towards Comprehensive Privacy Protection in Data Clustering.
19523 0 278652	Large Scale Detection of Irregularities in Accounting Data.
25824 0 554362	Liquid Data for WebLogic: Integrating Enterprise Data and Services.
3663 1 20728	Cong Yu
692 1 12406	Swaminathan Sivasubramanian
1781 1 16727	Yishai A. Feldman
7544 1 113269	Arvind Arasu
12694 1 366362	Glen Jeh
506 1 9376	Xian Wu
19274 0 278227	Clustering of Time Series Subsequences is Meaningless: Implications for Previous and Future Research.
25063 0 551848	Impedance coupling in content-targeted advertising.
22513 0 436694	Information extraction, data mining and joint inference.
28211 0 597350	Answering Queries with Aggregation Using Views.
29433 3 606	load
10523 1 200931	Qinghua Hu
28626 0 626310	AutoTag: a collaborative approach to automated tag assignment for weblog posts.
14605 0 8041	On Strictly Competitive Multi-Player Games.
16176 0 85811	Learning Bayesian Classification Rules through Genetic Algorithms.
13329 1 421150	Padima Das-Gupta
4236 1 28714	Leon E. Winslow
24769 0 551386	Dynamic Clustering Procedures for Bibliographic Data.
31228 3 2620	seamless
29972 3 1180	stereo
20271 0 309806	Constructing basis functions from directed graphs for value function approximation.
13786 1 422314	Michael Averbuch
9791 1 168129	Dennis de Champeaux
16261 0 85977	Adapting a Spatial Access Structure for Document Representations in Vector Space.
27316 0 595792	Inexpensive Large Capacity Storage will Revolutionize the Design of Database Management Systems.
21661 0 360135	Natural Language and Exploration of an Information Space: The ALFresco Interactive System.
19423 0 278497	On the Mining of Substitution Rules for Statistically Dependent Items.
19348 0 278349	A Comparative Study of Linear and Nonlinear Feature Extraction Methods.
37587 3 13244	drivenweb
1138 1 15510	Sheila A. McIlraith
21288 0 359199	A Logic Prover for Text Processing.
3185 1 19831	John M. Zelle
23570 0 501047	Site-Independent Template-Block Detection.
3822 1 22868	Blaz Zupan
23323 0 500441	Fast Outlier Detection in High Dimensional Spaces.
8885 1 138291	Tadashi Hoshiai
34276 3 7233	spider
22197 0 436087	Learning to match and cluster large high-dimensional data sets for data integration.
25394 0 552371	Cross-lingual query suggestion using query logs of different languages.
37036 3 12033	tenant
35429 3 9351	unweaving
26855 0 556257	Fg-index: towards verification-free query processing on graph databases.
36842 3 11707	thor
20475 0 357094	Inaccessible Worlds and Irrelevance: Preliminary Report.
10351 1 182375	Edith Cohen
19950 0 308907	Instance-Based Utile Distinctions for Reinforcement Learning with Hidden State.
4675 1 34586	Hiroshi Ishikawa
5156 1 41715	Emilio Corchado
32542 3 4357	fingerprints
27096 0 595436	NILE-PDT: A Phenomenon Detection and Tracking Framework for Data Stream Management Systems.
16262 0 85978	The Update of Index Structures in Object-Oriented DBMS.
15917 0 12045	Intelligence in Wikipedia.
33750 3 6415	unaware
20503 0 357137	An Architecture for Visualizing the Execution of Parallel Logic Programs.
15796 0 11820	Learning Voting Trees.
25157 0 552017	Biterm language models for document retrieval.
12172 1 316121	Rajiv Chopra
16305 0 86045	Fast webpage classification using URL features.
2042 1 17267	Milos Hauskrecht
4579 1 34162	Tobias Kraft
4109 1 27237	Yoshimasa Tsuruoka
21220 0 359019	The Origin of the Binary-Search Paradigm.
21804 0 360495	Reconstructive Explanation: Explanation as Complex Problem Solving.
27821 0 596650	The Starburst Long Field Manager.
7359 1 107569	Tye Rattenbury
10531 1 201405	Hwan-Soo Choi
18085 0 275778	SEED - A DBMS for Software Engineering Applications Based on the Entity-Relationship Approach.
36506 3 11173	folksonomy
13474 1 421358	Jesse Montgomery
12288 1 316585	Vincent Hwang
30763 3 2084	forgetting
33329 3 5674	albums
2915 1 19181	Victor S. Sheng
8335 1 114789	Georgios Paltoglou
7645 1 113682	John Schalow
16494 0 86399	Structural extraction from visual layout of documents.
24223 0 536495	A general framework for estimating similarity of datasets and decision trees: exploring semantic similarity of decision trees.
6069 1 66373	Jong-Sheng Cherng
22149 0 435968	A generalized maximum entropy approach to bregman co-clustering and matrix approximation.
19566 0 278721	Rapid Identification of Column Heterogeneity.
23072 0 486889	SETRED: Self-training with Editing.
37714 3 13441	cantree
1178 1 15582	Bikramjit Banerjee
20492 0 357116	Proving Theorems about LISP Functions.
16324 0 86087	Towards smarter documents.
5041 1 39161	Martin Halvey
24459 0 550905	Querying Office Systems About Document Roles.
31524 3 2972	classificatory
19149 0 277994	Efficient Data Interpretation and Compression over RFID Streams.
7054 1 92692	Jonathan Stoeckel
8649 1 125477	Kent Treiber
28754 0 626994	A semantic layer for publishing and localizing xml data for a p2p xquery mediator.
17252 0 158655	Wrapping Web Information Providers by Transducer Induction.
21774 0 360421	W - A Logic System Based on the Shared Common Knowledge Views.
36144 3 10635	hedge
29570 3 752	processor
25939 0 554537	Meaningful Change Detection in Structured Data.
24896 0 551583	Exploring the limits of single-iteration clarification dialogs.
4819 1 35631	James Frew
31965 3 3550	condition
20224 0 309699	Bottom-up learning of Markov logic network structure.
5204 1 42707	Marco Cammisa
30088 3 1305	modelling
32156 3 3814	growrange
6628 1 82687	Laura Dietz
4812 1 35581	Wen-Syan Li
3640 1 20688	Keith Cascio
21909 0 360758	A Privacy-Sensitive Approach to Modeling Multi-Person Conversations.
7465 1 113054	Donglei Qian
16794 0 86953	Proximity-based document representation for named entity retrieval.
31960 3 3545	behaviour
17600 0 162853	Efficient Locking and Caching of Data in the Multisystem Shard Disks Transaction Environment.
24627 0 551143	Combinational Compression and Partitioning of Large Dictionaries: Theory and Experiments.
17729 0 275054	ModelGen: Model Independent Schema Translation.
36464 3 11122	frank
30439 3 1698	computational
422 1 8042	Salem Benferhat
21262 0 359115	2D Shape Classification and Retrieval.
4615 1 34328	Anastasios Gounaris
26522 0 555649	Database Challenges in Global Information Systems.
1235 1 15698	Christian Bessi��re
25972 0 554596	Gangam - A Solution to Support Multiple Data Models, their Mappings and Maintenance.
28352 0 597595	Algorithms for Materialized View Design in Data Warehousing Environment.
21701 0 360227	On Cooperation in a Multi-Entity Model.
30571 3 1848	contradiction
7071 1 94949	Raymond T. Ng
8459 1 117535	St��phane Clinchant
34061 3 6882	theaterloc
7091 1 95090	Nebojsa Stefanovic
34834 3 8194	gib
30417 3 1669	sensitive
20881 0 358099	Automatic Programming From Data Types Decomposition Patterns.
21059 0 358576	What's in a Deep Model? A Characterization of Knowledge Depth in Intelligent Safety Systems.
21833 0 360575	Making AC-3 an Optimal Algorithm.
11016 1 260396	Shu-Chin Su Chen
25285 0 552207	A Comparison of Search Term Weighting: Term Relevance vs. Inverse Document Frequency.
31641 3 3129	short
22894 0 437379	Fastanova: an efficient algorithm for genome-wide association study.
28450 0 597739	Depth Estimation for Ranking Query Optimization.
29058 3 200	activity
6462 1 78086	Viet Phan Luong
14554 0 7887	Student Modelling with Confluences.
3958 1 26270	Jos de Bruin
11385 1 261212	Hai He
34419 3 7468	oo
11302 1 261029	Ralph E. Bunker
29129 3 278	soundness
4272 1 29313	E. A. Unger
1514 1 16259	Niall M. Adams
162 1 3255	Ah-Hwee Tan
6704 1 84173	Haruo Yokota
6291 1 75195	Yuan Jiang
31118 3 2492	novelty
14355 1 438662	Drew Ditto
9103 1 147178	David Sontag
19449 0 278534	An Immune Neural Network Used for Classification.
7000 1 90816	Oleg Rostanin
3938 1 26107	Anne Kilger
33154 3 5257	multispectral
2890 1 19123	Raju Patil
5756 1 54525	Richard J. Lipton
6084 1 68913	Abhaya Asthana
8896 1 138397	Vassil Chatalbashev
28101 0 597144	Symmetric Relations and Cardinality-Bounded Multisets in Database Systems.
26626 0 555865	FADS - A Form Application Development System.
15368 0 10628	SYNTELTM: Knowledge Programming Using Functional Representations.
24383 0 550772	Topic prediction based on comparative retrieval rankings.
6950 1 89032	Jing Lu
29483 3 657	quality
1366 1 15927	Lynn S. Broderick
5101 1 39922	Pawan Lingras
10731 1 231328	Gavin Smyth
32374 3 4121	corroboration
3684 1 20769	Hae-Chang Rim
15492 0 10982	Postponing Threats in Partial-Order Planning.
32724 3 4626	embodied
23409 0 500624	Analyzing Attribute Dependencies.
22636 0 436940	Email data cleaning.
4357 1 31233	Yi Deng
24568 0 551051	A new web page summarization method.
15103 0 9790	A User Interface for Knowledge Acquisition From Video.
31226 3 2618	citeseer
31439 3 2877	critical
18411 0 276431	Estimating the Usefulness of Search Engines.
34349 3 7360	drug
350 1 6107	Yixin Chen
31477 3 2918	rover
14657 0 8232	HCPRVR: An Interpreter for Logic Programs.
35453 3 9385	violate
24547 0 551018	Generic soft pattern models for definitional question answering.
31972 3 3562	populating
14040 1 422822	Sunil Kamath
21416 0 359549	DIALOG: A Model Of Diagnostic Logic For Internal Medicine.
14014 1 422788	Robert L. Bertini
24290 0 550623	Formal models for expert finding in enterprise corpora.
171 1 3421	Loren G. Terveen
29358 3 527	materialized
4857 1 35924	Chong Huang
18875 0 277422	Hiding in the Crowd: Privacy Preservation on Evolving Streams through Correlation Tracking.
21050 0 358543	A Precedence Scheme for Selection and Explanation of Therapies.
17560 0 162777	iMONDRIAN: A Visual Tool to Annotate and Query Scientific Databases.
6967 1 90412	Valeria De Antonellis
18956 0 277530	Adaptive Load Diffusion for Multiway Windowed Stream Joins.
10509 1 198365	Robert Devine
26866 0 556270	M-invariance: towards privacy preserving re-publication of dynamic datasets.
37171 3 12261	codb
9477 1 156497	Klaus H��lsmann
29085 3 229	attachments
32213 3 3898	prolearn
29921 3 1126	hyperlinked
22854 0 437311	A fast algorithm for finding frequent episodes in event streams.
33968 3 6746	hase
32936 3 4913	surveillance
5053 1 39314	Jill Freyne
11755 1 262074	Rezarta Islamaj Dogan
3339 1 20129	Li Fei-Fei
9904 1 171294	Jes��s Vegas
32104 3 3740	conversation
36176 3 10689	markup
37760 3 13522	granule
14050 1 422840	Garrett Cole
28161 0 597264	Efficiently Publishing Relational Data as XML Documents.
37702 3 13422	meaningless
4516 1 33876	G?sta Grahne
21445 0 359621	Gaussian Process Models of Spatial Aggregation Algorithms.
12143 1 316015	R. L. Beurle
4120 1 27324	Kyung-Soon Lee
12486 1 326056	Khaled Alsabti
13427 1 421297	Tung-Ho Wu
21732 0 360303	Some Notes on Motion Understanding.
32507 3 4304	screen
17182 0 157078	A Novel Implementation of the FITE-TRT Translation Method.
28486 0 597794	Value-Based Notification Conditions in Large-Scale Publish/Subscribe Systems.
34101 3 6936	annotating
7541 1 113266	Pedro Bizarro
31962 3 3547	epinions
13490 1 421386	Martin P. Smith
10020 1 173412	Rolf Rossius
6486 1 78180	Beat W��thrich
15691 0 11612	Potential-Aware Automated Abstraction of Sequential Games, and Holistic Equilibrium Analysis of Texas Hold'em Poker.
18175 0 275930	Mining Knowledge Rules from Databases: A Rough Set Approach.
37434 3 12742	suppressions
23321 0 500438	Evaluating the Correlation Between Objective Rule Interestingness Measures and Real Human Interest.
24638 0 551163	A Method for Scoring Correlated Features in Query Expansion.
29656 3 847	pattern
4614 1 34321	Klaus R. Dittrich
10737 1 231721	Nicol N. Schraudolph
25578 0 552615	Generalising multiple capture-recapture to non-uniform sample sizes.
13642 1 421594	Jiang-Ming Yang
6493 1 78222	Douglas Stott Parker Jr.
7615 1 113638	Ashraf Aboulnaga
1016 1 15327	Alexandre Albore
33009 3 5006	singularity
21971 0 360874	General Game Learning Using Knowledge Transfer.
16703 0 86752	Efficiently clustering transactional data with weighted coverage density.
4247 1 28899	Geneva G. Belford
5027 1 38895	Nicola Fanizzi
